13qm2ezhWSHWzMsGcxtKDhKNnchfP5Sp3X,btc,ransomware,torrentlocker,,https://www.welivesecurity.com/2014/09/04/torrentlocker-now-targets-uk-royal-mail-phishing/
145SmDToAhtfcBQhNxfeM8hnS6CBeiRukY,btc,ponzi,leancy,,https://arxiv.org/abs/1803.00646
147SwRQdpCfj5p8PnfsXV2SsVVpVcz3aPq,btc,mining,btc.top,canoe,https://github.com/MatteoRomiti/Deep_Dive_BTC_Mining_Pools/blob/master/dataset/miners.json
1FLH1SoLv4U68yUERhDiWzrJn5TggMqkaZ,btc,mining,btc.com,waterhole,https://github.com/MatteoRomiti/Deep_Dive_BTC_Mining_Pools/blob/master/dataset/miners.json
13hQVEstgo4iPQZv9C7VELnLWF7UWtF4Q3,btc,mining,haobtc.com,bixin,https://github.com/MatteoRomiti/Deep_Dive_BTC_Mining_Pools/blob/master/dataset/miners.json
19t7RxwXdfiwQMyQ3JVB16e9HgV7omijSs,btc,mining,picostocks,megabigpower,https://github.com/MatteoRomiti/Deep_Dive_BTC_Mining_Pools/blob/master/dataset/miners.json
14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,btc,mining,btcguild.com,wot_Eleuthria,https://github.com/MatteoRomiti/Deep_Dive_BTC_Mining_Pools/blob/master/dataset/miners.json
17gH1u6VJwhVD9cWR59jfeinLMzag2GZ43,btc,mixer,,,https://bitcointalk.org/index.php?topic=754624.0
1GEhfbjbUaCVYBa6Av6zwRqnwkrq9vNozE,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
16Ln8mBGUNXo1mnK4hiZhEhsEaWKbWdcPd,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
1DSD3B3uS2wGZjZAwa2dqQ7M9v7Ajw2iLy,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
15TDob9hdsh2xKomM9H8rWFQWJM26rLF5b,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
1EoZKLt1MbwTCUid2bb9ba86xsMesc8dr8,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
12EEXaA2UZ6RWhB2D1cZhPc4E6fqVoUt5k,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
1JB7J241ngJpWaJwfNeXCpuRV5ESaazNq2,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
17uRHp73WXW977Hebi2uNgxgFcGqWEowdo,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
18QFB7ERMxA7CnBSiwysxxZzN4Ghqaquek,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
15uBPnBFrZvzu9M3uVvRUi4Z1j94TGU41L,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
1CPUfm4NDevVhJp4nJHZbdrrZd12EyYAWU,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
1Ei7CPQHkt3d7AyZF28a4qi9PW119TwHkC,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
1KNn3Z9LSXmnSaCBxLMAyjXRHQ6CxF4HDu,btc,onlinewallet,flexcoin,hacked-txin,https://bitcointalk.org/index.php?topic=576337
